Sl no,DISTRICT,BLOCK,Block Code,ONT LOCATION NAME,LOCATION CODE,ONT AVAILABILITY(%),REMARKS,HOTO Status,"GP Router Installed(Yes/No)",GP Router Installation Date,"Visibility in SNOC(Yes/ No)","Visibility in SNOC(Date)",LGD Code
349,THRISSUR,ANTHIKKAD,6387,ANTHICAD,KL-THR-ANT-221824,99.78,98-100%,Completed,No,,No,,KL-THR-ANT-221824
350,ERNAKULAM,ALANGAD,6272,ALANGAD,KL-ERN-ALA-221041,99.78,98-100%,Completed,No,,No,,KL-ERN-ALA-221041
351,THRISSUR,THALIKKULAM,6400,VADANAPPILLY,KL-THR-THA-221896,99.8,98-100%,Completed,No,,No,,KL-THR-THA-221896
352,KOLLAM,OACHIRA,6314,KULASEKHARAPURAM,KL-KLM-OAC-221342,99.8,98-100%,Completed,No,,No,,KL-KLM-OAC-221342
353,KOTTAYAM,ETTUMANOOR,6319,NEENDOOR,KL-KTM-ETT-221376,99.81,98-100%,Completed,No,,No,,KL-KTM-ETT-221376
354,KANNUR,KALLIASSERI,6884,BHQ KALLIASSERI,KL-KNU-KAL-BH6695,99.81,98-100%,Completed,No,,No,,KL-KNU-KAL-BH6695
355,ALAPPUZHA,ARYAD,6261,MARARIKKULAM SOUTH,KL-ALA-ARY-220975,99.82,98-100%,Completed,No,,No,,KL-ALA-ARY-220975
356,ALAPPUZHA,MUTHUKULAM,6268,KANDALLOOR,KL-ALA-MUT-221018,99.82,98-100%,Completed,No,,No,,KL-ALA-MUT-221018
357,ERNAKULAM,KOOVAPPADY,6275,MUDAKUZHA,KL-ERN-KOO-221058,99.83,98-100%,Completed,No,,No,,KL-ERN-KOO-221058
358,KOZHIKODE,THODANNUR,6338,MANIYUR,KL-KOZ-THO-221496,99.83,98-100%,Completed,No,,No,,KL-KOZ-THO-221496
359,KOZHIKODE,THODANNUR,6338,THIRUVALLUR,KL-KOZ-THO-221497,99.83,98-100%,Completed,No,,No,,KL-KOZ-THO-221497
360,PALAKKAD,MANNARKAD,6361,KANJIRAMPUZHA,KL-PAL-MAN-221645,99.83,98-100%,Completed,No,,No,,KL-PAL-MAN-221645
361,PATHANAMTHITTA,ELANTHOOR,6368,OMALLUR,KL-PNM-ELA-221703,99.83,98-100%,Completed,No,,No,,KL-PNM-ELA-221703
362,THIRUVANANTHAPURAM,PERUMKADAVILA,6383,BHQ PERUMKADAVILA,KL-THM-PER-BH6076,99.83,98-100%,Completed,No,,No,,KL-THM-PER-BH6076
363,THRISSUR,CHALAKKUDY,6388,BHQ CHALAKKUDY,KL-THR-CLA-BH6082,99.83,98-100%,Completed,No,,No,,KL-THR-CLA-BH6082
364,KOLLAM,CHADAYAMANGALAM,6308,VELINALLUR,KL-KLM-CDA-221311,99.85,98-100%,Completed,No,,No,,KL-KLM-CDA-221311
365,KOZHIKODE,KUNNAMANGALAM,6333,PERUVAYAL,KL-KOZ-KMA-221470,99.85,98-100%,Completed,No,,No,,KL-KOZ-KMA-221470
366,PALAKKAD,PALAKKAD,6364,PARLI,KL-PAL-PAL-221671,99.85,98-100%,Completed,No,,No,,KL-PAL-PAL-221671
367,ERNAKULAM,MULANTHURUTHY,6277,EDAKKATTUVAYAL,KL-ERN-MUL-221074,99.85,98-100%,Completed,No,,No,,KL-ERN-MUL-221074
368,ERNAKULAM,VYPEEN,6285,KUZHUPPILLY,KL-ERN-VYP-221119,99.85,98-100%,Completed,No,,No,,KL-ERN-VYP-221119
369,KASARAGOD,KARADKA,6886,DELAMPADY,KL-KGD-KAR-221269,99.85,98-100%,Completed,No,,No,,KL-KGD-KAR-221269
370,THIRUVANANTHAPURAM,VELLANAD,6386,THOLICODE,KL-THM-VEL-221820,99.86,98-100%,Completed,No,,No,,KL-THM-VEL-221820
371,KASARAGOD,KANHANGAD,6303,PULLURPERIYA,KL-KGD-KAN-221264,99.86,98-100%,Completed,No,,No,,KL-KGD-KAN-221264
372,KOLLAM,CHADAYAMANGALAM,6308,NILAMEL,KL-KLM-CDA-221310,99.86,98-100%,Completed,No,,No,,KL-KLM-CDA-221310
373,KOLLAM,CHITTUMALA,6310,KUNDARA,KL-KLM-CHI-221318,99.86,98-100%,Completed,No,,No,,KL-KLM-CHI-221318
374,KOTTAYAM,KADUTHURUTHY,6320,KALLARA,KL-KTM-KAD-221378,99.86,98-100%,Completed,No,,No,,KL-KTM-KAD-221378
375,KOZHIKODE,BALUSSERI,6329,UNNIKULUM,KL-KOZ-BAL-221442,99.86,98-100%,Completed,No,,No,,KL-KOZ-BAL-221442
376,PALAKKAD,ALATHUR,6355,TARUR,KL-PAL-ALA-221612,99.86,98-100%,Completed,No,,No,,KL-PAL-ALA-221612
377,KASARAGOD,KARADKA,6886,KARADKA,KL-KGD-KAR-221270,99.86,98-100%,Completed,No,,No,,KL-KGD-KAR-221270
378,KOLLAM,KOTTARAKKARA,6312,VELIYAM,KL-KLM-KOT-221336,99.86,98-100%,Completed,No,,No,,KL-KLM-KOT-221336
379,KOTTAYAM,MADAPPALLY,6323,VAKATHANAM,KL-KTM-MAD-221401,99.86,98-100%,Completed,No,,No,,KL-KTM-MAD-221401
380,KOTTAYAM,PALLOM,6324,AYARKKUNNAM,KL-KTM-PAL-221403,99.86,98-100%,Completed,No,,No,,KL-KTM-PAL-221403
381,KOZHIKODE,CALICUT RURAL,6332,KADALUNDI,KL-KOZ-KOZ-221458,99.86,98-100%,Completed,No,,No,,KL-KOZ-KOZ-221458
382,MALAPPURAM,NILAMBUR,6346,EDAKKARA,KL-MPP-NIL-221548,99.86,98-100%,Completed,No,,No,,KL-MPP-NIL-221548
383,PALAKKAD,MANNARKAD,6361,KARIMBA,KL-PAL-MAN-221647,99.86,98-100%,Completed,No,,No,,KL-PAL-MAN-221647
384,PALAKKAD,MANNARKAD,6361,THACHANATTUKARA,KL-PAL-MAN-221652,99.86,98-100%,Completed,No,,No,,KL-PAL-MAN-221652
385,THIRUVANANTHAPURAM,NEMOM,6381,MARANELLOOR,KL-THM-NEM-221783,99.86,98-100%,Completed,No,,No,,KL-THM-NEM-221783
386,KANNUR,KUTHUPARAMBA,6298,BHQ KUTHUPARAMBA,KL-KNU-KUT-BH5988,99.86,98-100%,Completed,No,,No,,KL-KNU-KUT-BH5988
387,MALAPPURAM,PERINTHALMANNA,6347,BHQ PERINTHALMANNA,KL-MPP-PNT-BH6039,99.86,98-100%,Completed,No,,No,,KL-MPP-PNT-BH6039
388,ALAPPUZHA,THYCATTUSSERY,6270,BHQ THYCATTUSSERY,KL-ALA-THY-BH5959,99.86,98-100%,Completed,No,,No,,KL-ALA-THY-BH5959
389,IDUKKI,NEDUMKANDOM,6292, BHQ NEDUMKANDOM,KL-IDU-NED-BH5982,99.86,98-100%,Completed,No,,No,,KL-IDU-NED-BH5982
390,THRISSUR,OLLUKKARA,6397,BHQ OLLUKKARA,KL-THR-OLL-BH6092,99.86,98-100%,Completed,No,,No,,KL-THR-OLL-BH6092
391,KASARAGOD,MANJESHWAR,6305,VORKADY,KL-KGD-MAN-221285,99.87,98-100%,Completed,No,,No,,KL-KGD-MAN-221285
392,KOTTAYAM,UZHAVOOR,6326,KADAPLAMATTOM,KL-KTM-UZH-221416,99.87,98-100%,Completed,No,,No,,KL-KTM-UZH-221416
393,KOTTAYAM,UZHAVOOR,6326,MARANGATTUPILLY,KL-KTM-UZH-221420,99.87,98-100%,Completed,No,,No,,KL-KTM-UZH-221420
394,THRISSUR,VELLANGALLUR,6401,VELLOOKKARA,KL-THR-VEL-221902,99.88,98-100%,Completed,No,,No,,KL-THR-VEL-221902
395,KOLLAM,SASTHAMCOTTAH,6316,WEST KALLADA,KL-KLM-SAS-221356,99.88,98-100%,Completed,No,,No,,KL-KLM-SAS-221356
396,KOTTAYAM,ETTUMANOOR,6319,ATHIRAMPUZHA,KL-KTM-ETT-221374,99.88,98-100%,Completed,No,,No,,KL-KTM-ETT-221374
397,KOZHIKODE,THUNERI,6339,PURAMERI,KL-KOZ-THU-221501,99.88,98-100%,Completed,No,,No,,KL-KOZ-THU-221501
398,KOZHIKODE,VADAKARA,6340,ERAMALA,KL-KOZ-VAD-221507,99.88,98-100%,Completed,No,,No,,KL-KOZ-VAD-221507
399,PALAKKAD,CHITTUR,6357,ELAPPULLY,KL-PAL-CHI-221637,99.88,98-100%,Completed,No,,No,,KL-PAL-CHI-221637
400,PALAKKAD,KOLLENGODE,6358,MUTHALAMADA,KL-PAL-KOL-221626,99.88,98-100%,Completed,No,,No,,KL-PAL-KOL-221626
401,KOLLAM,OACHIRA,6314,CLAPPANA,KL-KLM-OAC-221341,99.88,98-100%,Completed,No,,No,,KL-KLM-OAC-221341
402,MALAPPURAM,KONDOTTY,6342,NEDIYIRUPU,KL-MPP-KON-O221519,99.88,98-100%,Completed,No,,No,,KL-MPP-KON-O221519
403,MALAPPURAM,KUTTIPPURAM,6343,KALPAKANCHERI,KL-MPP-KUT-221570,99.88,98-100%,Completed,No,,No,,KL-MPP-KUT-221570
404,PALAKKAD,OTTAPPALAM,6363,ANANGANADI,KL-PAL-OTT-221661,99.88,98-100%,Completed,No,,No,,KL-PAL-OTT-221661
405,PALAKKAD,PATTAMBI,6365,ONGALLUR,KL-PAL-PAT-221677,99.88,98-100%,Completed,No,,No,,KL-PAL-PAT-221677
406,KASARAGOD,KASARGOD,6304,BHQ KASARGOD,KL-KGD-KAS-BH5994,99.88,98-100%,Completed,No,,No,,KL-KGD-KAS-BH5994
407,KANNUR,KANNUR,6297,ANCHARAKANDY,KL-KNU-KAN-221176,99.88,98-100%,Completed,No,,No,,KL-KNU-KAN-221176
408,PALAKKAD,MALAMPUZHA,6360,POLPULLY,KL-PAL-MAL-221641,99.88,98-100%,Completed,No,,No,,KL-PAL-MAL-221641
409,KOZHIKODE,CALICUT RURAL,6332,OLAVANNA,KL-KOZ-KOZ-221459,99.88,98-100%,Completed,No,,No,,KL-KOZ-KOZ-221459
410,THRISSUR,CHERPU,6390,PARALAM,KL-THR-CHE-221841,99.89,98-100%,Completed,No,,No,,KL-THR-CHE-221841
411,THRISSUR,KODAKARA,6393,MATTATHUR,KL-THR-KOD-221855,99.89,98-100%,Completed,No,,No,,KL-THR-KOD-221855
412,ERNAKULAM,PARAKKADAV,6281,SREEMOOLANAGARAM,KL-ERN-PRA-221052,99.89,98-100%,Completed,No,,No,,KL-ERN-PRA-221052
413,ERNAKULAM,VAZHAKKULAM,6284,CHOORNIKKARA,KL-ERN-VAZ-221111,99.89,98-100%,Completed,No,,No,,KL-ERN-VAZ-221111
414,KASARAGOD,KASARGOD,6304,CHENGALA,KL-KGD-KAS-221268,99.89,98-100%,Completed,No,,No,,KL-KGD-KAS-221268
415,KOLLAM,VETTIKKAVALA,6317,MELILA,KL-KLM-VET-221358,99.89,98-100%,Completed,No,,No,,KL-KLM-VET-221358
416,KOTTAYAM,ERATTUPETTA,6318,TEEKOY,KL-KTM-ERA-221368,99.89,98-100%,Completed,No,,No,,KL-KTM-ERA-221368
417,KOTTAYAM,VAZHOOR,6328,NEDUMKUNNAM,KL-KTM-VAZ-221432,99.89,98-100%,Completed,No,,No,,KL-KTM-VAZ-221432
418,MALAPPURAM,TIRURANGADI,6352,THENHIPPALAM,KL-MPP-TIR-221587,99.89,98-100%,Completed,No,,No,,KL-MPP-TIR-221587
419,PALAKKAD,TRITHALA,6367,THRITHALA,KL-PAL-TRI-221696,99.89,98-100%,Completed,No,,No,,KL-PAL-TRI-221696
420,KANNUR,PAYYANNUR,6299,KUNHIMANGALAM,KL-KNU-PAY-221223,99.89,98-100%,Completed,No,,No,,KL-KNU-PAY-221223
421,KOZHIKODE,PANTHALAYANI,6336,MOODADI,KL-KOZ-PAN-221487,99.89,98-100%,Completed,No,,No,,KL-KOZ-PAN-221487
422,MALAPPURAM,KONDOTTY,6342,PALLIKKAL,KL-MPP-KON-221520,99.89,98-100%,Completed,No,,No,,KL-MPP-KON-221520
423,THIRUVANANTHAPURAM,NEMOM,6381,MALAYINKEEL,KL-THM-NEM-221782,99.89,98-100%,Completed,No,,No,,KL-THM-NEM-221782
424,THIRUVANANTHAPURAM,PARASSALA,6382,PARASSALA,KL-THM-PAR-221790,99.89,98-100%,Completed,No,,No,,KL-THM-PAR-221790
425,MALAPPURAM,TIRURANGADI,6352,CHELEMBRA,KL-MPP-TIR-221516,99.89,98-100%,Completed,No,,No,,KL-MPP-TIR-221516
426,KOLLAM,CHADAYAMANGALAM,6308,CHADAYAMANGALAM,KL-KLM-CDA-221305,99.9,98-100%,Completed,No,,No,,KL-KLM-CDA-221305
427,PATHANAMTHITTA,KOIPURAM,6369,KOIPURAM,KL-PNM-KOI-221707,99.95,98-100%,Completed,No,,No,,KL-PNM-KOI-221707
428,PATHANAMTHITTA,KOIPURAM,6369,THOTTAPUZHASSERY,KL-PNM-KOI-221709,99.95,98-100%,Completed,No,,No,,KL-PNM-KOI-221709
429,ERNAKULAM,KOTHAMANGALAM,6276,BHQ KOTHAMANGALAM,KL-ERN-KOT-BH5965,99.95,98-100%,Completed,No,,No,,KL-ERN-KOT-BH5965
430,THIRUVANANTHAPURAM,VAMANAPURAM,6384,VAMANAPURAM,KL-THM-VAM-221808,99.97,98-100%,Completed,No,,No,,KL-THM-VAM-221808
431,PATHANAMTHITTA,KOIPURAM,6369,ERAVIPEROOR,KL-PNM-KOI-221705,99.98,98-100%,Completed,No,,No,,KL-PNM-KOI-221705
432,PATHANAMTHITTA,KOIPURAM,6369,EZHUMATTOOR,KL-PNM-KOI-221706,99.98,98-100%,Completed,No,,No,,KL-PNM-KOI-221706
433,KANNUR,IRIKKUR,6295,IRIKKUR,KL-KNU-IRK-221186,99.99,98-100%,Completed,No,,No,,KL-KNU-IRK-221186
434,PALAKKAD,MANNARKAD,6361,BHQ MANNARKAD,KL-PAL-MAN-BH6053,100,98-100%,Completed,No,,No,,KL-PAL-MAN-BH6053
435,THRISSUR,CHAVAKKAD,6389,ORUMANAYUR,KL-THR-CHA-221835,100,98-100%,Completed,No,,No,,KL-THR-CHA-221835
436,THRISSUR,CHAVAKKAD,6389,PUNNAYUR,KL-THR-CHA-221836,100,98-100%,Completed,No,,No,,KL-THR-CHA-221836
437,THRISSUR,CHAVAKKAD,6389,PUNNYURKULUM,KL-THR-CHA-221837,100,98-100%,Completed,No,,No,,KL-THR-CHA-221837
438,THRISSUR,CHAVAKKAD,6389,VADEKKEKAD,KL-THR-CHA-221838,100,98-100%,Completed,No,,No,,KL-THR-CHA-221838
439,THRISSUR,CHOWANNUR,6391,BHQ CHOWANNUR,KL-THR-CHO-BH6085,100,98-100%,Completed,No,,No,,KL-THR-CHO-BH6085
440,THRISSUR,ANTHIKKAD,6387,ARIMPOOR,KL-THR-ANT-221888,100,98-100%,Completed,No,,No,,KL-THR-ANT-221888
441,THRISSUR,ANTHIKKAD,6387,MANALLUR,KL-THR-ANT-221826,100,98-100%,Completed,No,,No,,KL-THR-ANT-221826
442,THRISSUR,ANTHIKKAD,6387,THANNIYAM,KL-THR-ANT-221827,100,98-100%,Completed,No,,No,,KL-THR-ANT-221827
443,THRISSUR,CHAVAKKAD,6389,KADAPPURAM,KL-THR-CHA-221834,100,98-100%,Completed,No,,No,,KL-THR-CHA-221834
444,THRISSUR,CHERPU,6390,CHERPU,KL-THR-CHE-221840,100,98-100%,Completed,No,,No,,KL-THR-CHE-221840
445,THRISSUR,IRINJALAKKUDA,6392,KARALAM,KL-THR-IRI-221849,100,98-100%,Completed,No,,No,,KL-THR-IRI-221849
446,THRISSUR,IRINJALAKKUDA,6392,KATTUR,KL-THR-IRI-221850,100,98-100%,Completed,No,,No,,KL-THR-IRI-221850
447,THRISSUR,IRINJALAKKUDA,6392,MURIYAD,KL-THR-IRI-221851,100,98-100%,Completed,No,,No,,KL-THR-IRI-221851
448,THRISSUR,IRINJALAKKUDA,6392,PARAPPUKKARA,KL-THR-IRI-221852,100,98-100%,Completed,No,,No,,KL-THR-IRI-221852
449,THRISSUR,KODAKARA,6393,ALAGAPPA NAGAR,KL-THR-KOD-221853,100,98-100%,Completed,No,,No,,KL-THR-KOD-221853
450,THRISSUR,KODAKARA,6393,KODAKARA,KL-THR-KOD-221854,100,98-100%,Completed,No,,No,,KL-THR-KOD-221854
451,THRISSUR,KODAKARA,6393,NENMENIKKARA,KL-THR-KOD-221856,100,98-100%,Completed,No,,No,,KL-THR-KOD-221856
452,THRISSUR,MALA,6394,ALUR,KL-THR-MAL-221862,100,98-100%,Completed,No,,No,,KL-THR-MAL-221862
453,THRISSUR,MALA,6394,ANNAMANADA,KL-THR-MAL-221863,100,98-100%,Completed,No,,No,,KL-THR-MAL-221863
454,THRISSUR,MALA,6394,KUZHUR,KL-THR-MAL-221864,100,98-100%,Completed,No,,No,,KL-THR-MAL-221864
455,THRISSUR,MALA,6394,MALA,KL-THR-MAL-221865,100,98-100%,Completed,No,,No,,KL-THR-MAL-221865
456,THRISSUR,MATHILAKAM,6395,EDATHIRUTHY,KL-THR-MAT-221867,100,98-100%,Completed,No,,No,,KL-THR-MAT-221867
457,THRISSUR,MATHILAKAM,6395,EDAVILANGU,KL-THR-MAT-221860,100,98-100%,Completed,No,,No,,KL-THR-MAT-221860
458,THRISSUR,MATHILAKAM,6395,ERIYAD,KL-THR-MAT-221861,100,98-100%,Completed,No,,No,,KL-THR-MAT-221861
459,THRISSUR,MATHILAKAM,6395,KAIPAMANGALAM,KL-THR-MAT-221868,100,98-100%,Completed,No,,No,,KL-THR-MAT-221868
460,THRISSUR,MATHILAKAM,6395,MATHILAKAM,KL-THR-MAT-221869,100,98-100%,Completed,No,,No,,KL-THR-MAT-221869
461,THRISSUR,MATHILAKAM,6395,PERINJANAM,KL-THR-MAT-221870,100,98-100%,Completed,No,,No,,KL-THR-MAT-221870
462,THRISSUR,MULLASSERY,6396,ELAVALLY,KL-THR-MUL-221872,100,98-100%,Completed,No,,No,,KL-THR-MUL-221872
463,THRISSUR,MULLASSERY,6396,MULLASSERY,KL-THR-MUL-221873,100,98-100%,Completed,No,,No,,KL-THR-MUL-221873
464,THRISSUR,OLLUKKARA,6397,MADAKKATHARA,KL-THR-OLL-221877,100,98-100%,Completed,No,,No,,KL-THR-OLL-221877
465,THRISSUR,OLLUKKARA,6397,NADATHARA,KL-THR-OLL-221878,100,98-100%,Completed,No,,No,,KL-THR-OLL-221878
466,THRISSUR,OLLUKKARA,6397,PANANCHERY,KL-THR-OLL-221879,100,98-100%,Completed,No,,No,,KL-THR-OLL-221879
467,THRISSUR,OLLUKKARA,6397,PUTHUR,KL-THR-OLL-221880,100,98-100%,Completed,No,,No,,KL-THR-OLL-221880
468,THRISSUR,PAZHAYANNUR,6398,PANJAL,KL-THR-PAZ-221883,100,98-100%,Completed,No,,No,,KL-THR-PAZ-221883
469,THRISSUR,PAZHAYANNUR,6398,PAZHAYANNUR,KL-THR-PAZ-221884,100,98-100%,Completed,No,,No,,KL-THR-PAZ-221884
470,THRISSUR,PAZHAYANNUR,6398,THIRUVILWAMALA,KL-THR-PAZ-221885,100,98-100%,Completed,No,,No,,KL-THR-PAZ-221885
471,THRISSUR,PAZHAYANNUR,6398,VALLATHOL NAGAR,KL-THR-PAZ-221886,100,98-100%,Completed,No,,No,,KL-THR-PAZ-221886
472,THRISSUR,PUZHAKKAL,6399,ADAT,KL-THR-PUZ-221887,100,98-100%,Completed,No,,No,,KL-THR-PUZ-221887
473,THRISSUR,PUZHAKKAL,6399,AVANUR,KL-THR-PUZ-221889,100,98-100%,Completed,No,,No,,KL-THR-PUZ-221889
474,THRISSUR,PUZHAKKAL,6399,KOLAZHY,KL-THR-PUZ-221876,100,98-100%,Completed,No,,No,,KL-THR-PUZ-221876
475,THRISSUR,PUZHAKKAL,6399,MULAKUNNATHUKAVU,KL-THR-PUZ-221891,100,98-100%,Completed,No,,No,,KL-THR-PUZ-221891
476,IDUKKI,KATTAPPANA,6291,KANCHIYAR,KL-IDU-KAT-221159,100,98-100%,Completed,No,,No,,KL-IDU-KAT-221159
477,IDUKKI,AZHUTHA,6287,ELAPPARA,KL-IDU-AZH-221130,100,98-100%,Completed,No,,No,,KL-IDU-AZH-221130
478,IDUKKI,AZHUTHA,6287,PERUVANTHANAM,KL-IDU-AZH-221134,100,98-100%,Completed,No,,No,,KL-IDU-AZH-221134
479,IDUKKI,AZHUTHA,6287,KUMALY,KL-IDU-AZH-221132,100,98-100%,Completed,No,,No,,KL-IDU-AZH-221132
480,IDUKKI,AZHUTHA,6287,VANDIPERIYAR,KL-IDU-AZH-221135,100,98-100%,Completed,No,,No,,KL-IDU-AZH-221135
481,THIRUVANANTHAPURAM,KILIMANOOR,6379,KILIMANOOR,KL-THM-KIL-221768,100,98-100%,Completed,No,,No,,KL-THM-KIL-221768
482,THIRUVANANTHAPURAM,VAMANAPURAM,6384,NANNIYODE,KL-THM-VAM-221803,100,98-100%,Completed,No,,No,,KL-THM-VAM-221803
483,THIRUVANANTHAPURAM,VELLANAD,6386,ARYANAD,KL-THM-VEL-221816,100,98-100%,Completed,No,,No,,KL-THM-VEL-221816
484,THIRUVANANTHAPURAM,VELLANAD,6386,POOVACHAL,KL-THM-VEL-221819,100,98-100%,Completed,No,,No,,KL-THM-VEL-221819
485,IDUKKI,ADIMALY,6286,BHQ ADIMALY,KL-IDU-ADI-BH5976,100,98-100%,Completed,No,,No,,KL-IDU-ADI-BH5976
486,IDUKKI,IDUKKI,6290,VATHIKUDY,KL-IDU-IDU-221154,100,98-100%,Completed,No,,No,,KL-IDU-IDU-221154
487,IDUKKI,THODUPUZHA,6293,MUTTOM,KL-IDU-THO-221174,100,98-100%,Completed,No,,No,,KL-IDU-THO-221174
488,IDUKKI,IDUKKI,6290,MARIYAPURAM,KL-IDU-IDU-221153,100,98-100%,Completed,No,,No,,KL-IDU-IDU-221153
489,IDUKKI,ELEMDESAM,6289,KARIMANNOOR,KL-IDU-ELE-221144,100,98-100%,Completed,No,,No,,KL-IDU-ELE-221144
490,IDUKKI,KATTAPPANA,6291,BHQ KATTAPPANA,KL-IDU-KAT-BH5981,100,98-100%,Completed,No,,No,,KL-IDU-KAT-BH5981
491,IDUKKI,DEVIKULAM,6288,MUNNAR,KL-IDU-DEV-221140,100,98-100%,Completed,No,,No,,KL-IDU-DEV-221140
492,IDUKKI,DEVIKULAM,6288,BHQ DEVIKULAM,KL-IDU-DEV-BH5978,100,98-100%,Completed,No,,No,,KL-IDU-DEV-BH5978
493,THIRUVANANTHAPURAM,NEDUMANGAD,6380,ARUVIKKARA,KL-THM-NED-221776,100,98-100%,Completed,No,,No,,KL-THM-NED-221776
494,THIRUVANANTHAPURAM,NEDUMANGAD,6380,VEMBAYAM,KL-THM-NED-221779,100,98-100%,Completed,No,,No,,KL-THM-NED-221779
495,IDUKKI,KATTAPPANA,6291,ERATTAYAR,KL-IDU-KAT-221158,100,98-100%,Completed,No,,No,,KL-IDU-KAT-221158
496,IDUKKI,KATTAPPANA,6291,VANDENMEDU,KL-IDU-KAT-221162,100,98-100%,Completed,No,,No,,KL-IDU-KAT-221162
497,IDUKKI,AZHUTHA,6287,KOKKAYAR,KL-IDU-AZH-221131,100,98-100%,Completed,No,,No,,KL-IDU-AZH-221131
498,THIRUVANANTHAPURAM,VELLANAD,6386,KATTAKKADA,KL-THM-VEL-221817,100,98-100%,Completed,No,,No,,KL-THM-VEL-221817
499,THIRUVANANTHAPURAM,VELLANAD,6386,KUTTICHAL,KL-THM-VEL-221818,100,98-100%,Completed,No,,No,,KL-THM-VEL-221818
500,THIRUVANANTHAPURAM,VELLANAD,6386,VITHURA,KL-THM-VEL-221823,100,98-100%,Completed,No,,No,,KL-THM-VEL-221823
501,IDUKKI,ADIMALY,6286,ADIMALY,KL-IDU-ADI-221127,100,98-100%,Completed,No,,No,,KL-IDU-ADI-221127
502,IDUKKI,ADIMALY,6286,VELLATHOOVAL,KL-IDU-ADI-221129,100,98-100%,Completed,No,,No,,KL-IDU-ADI-221129
503,IDUKKI,IDUKKI,6290,IDUKKI - KANJIKUZHY,KL-IDU-IDU-221151,100,98-100%,Completed,No,,No,,KL-IDU-IDU-221151
504,IDUKKI,DEVIKULAM,6288,BAISONVALLEY,KL-IDU-DEV-221125,100,98-100%,Completed,No,,No,,KL-IDU-DEV-221125
505,IDUKKI,DEVIKULAM,6288,KANTHALLOOR,KL-IDU-DEV-221137,100,98-100%,Completed,No,,No,,KL-IDU-DEV-221137
506,IDUKKI,DEVIKULAM,6288,MARAYOOR,KL-IDU-DEV-221139,100,98-100%,Completed,No,,No,,KL-IDU-DEV-221139
507,IDUKKI,KATTAPPANA,6291,AYAPANKOVIL,KL-IDU-KAT-221156,100,98-100%,Completed,No,,No,,KL-IDU-KAT-221156
508,THIRUVANANTHAPURAM,VAMANAPURAM,6384,PERINGAMALA,KL-THM-VAM-221806,100,98-100%,Completed,No,,No,,KL-THM-VAM-221806
509,THRISSUR,THALIKKULAM,6400,NATTIKA,KL-THR-THA-221894,100,98-100%,Completed,No,,No,,KL-THR-THA-221894
510,THRISSUR,THALIKKULAM,6400,VALAPPAD,KL-THR-THA-221897,100,98-100%,Completed,No,,No,,KL-THR-THA-221897
511,THRISSUR,VELLANGALLUR,6401,POOMANGALAM,KL-THR-VEL-221899,100,98-100%,Completed,No,,No,,KL-THR-VEL-221899
512,THRISSUR,VELLANGALLUR,6401,PUTHENCHIRA,KL-THR-VEL-221900,100,98-100%,Completed,No,,No,,KL-THR-VEL-221900
513,THRISSUR,VELLANGALLUR,6401,VELLANGALLUR,KL-THR-VEL-221901,100,98-100%,Completed,No,,No,,KL-THR-VEL-221901
514,THRISSUR,PUZHAKKAL,6399,THOLUR,KL-THR-PUZ-221892,100,98-100%,Completed,No,,No,,KL-THR-PUZ-221892
515,THRISSUR,THALIKKULAM,6400,ENGANDIYUR,KL-THR-THA-221893,100,98-100%,Completed,No,,No,,KL-THR-THA-221893
516,THRISSUR,THALIKKULAM,6400,THALIKULAM,KL-THR-THA-221895,100,98-100%,Completed,No,,No,,KL-THR-THA-221895
517,ALAPPUZHA,AMBALAPPUZHA,6260,AMBALAPPUZHA ( NORTH ),KL-ALA-AMB-220968,100,98-100%,Completed,No,,No,,KL-ALA-AMB-220968
518,ALAPPUZHA,AMBALAPPUZHA,6260,PUNNAPRA (NORTH),KL-ALA-AMB-220970,100,98-100%,Completed,No,,No,,KL-ALA-AMB-220970
519,ALAPPUZHA,AMBALAPPUZHA,6260,PUNNAPRA(SOUTH),KL-ALA-AMB-220971,100,98-100%,Completed,No,,No,,KL-ALA-AMB-220971
520,ALAPPUZHA,ARYAD,6261,MUHAMMA,KL-ALA-ARY-221009,100,98-100%,Completed,No,,No,,KL-ALA-ARY-221009
521,ALAPPUZHA,BHARANICAVU,6262,BHARANIKKAVU,KL-ALA-BHA-220976,100,98-100%,Completed,No,,No,,KL-ALA-BHA-220976
522,ALAPPUZHA,BHARANICAVU,6262,CHUNAKKARA,KL-ALA-BHA-220977,100,98-100%,Completed,No,,No,,KL-ALA-BHA-220977
523,ALAPPUZHA,CHAMPAKULAM,6263,EDATHUA,KL-ALA-CHA-220983,100,98-100%,Completed,No,,No,,KL-ALA-CHA-220983
524,ALAPPUZHA,CHAMPAKULAM,6263,THAKAZHI,KL-ALA-CHA-220986,100,98-100%,Completed,No,,No,,KL-ALA-CHA-220986
525,ALAPPUZHA,CHENGANNUR,6264,BUDHANNOOR,KL-ALA-CHE-220989,100,98-100%,Completed,No,,No,,KL-ALA-CHE-220989
526,ALAPPUZHA,CHENGANNUR,6264,CHERIYANAD,KL-ALA-CHE-220990,100,98-100%,Completed,No,,No,,KL-ALA-CHE-220990
527,ALAPPUZHA,CHENGANNUR,6264,MULAKKUZHA,KL-ALA-CHE-220992,100,98-100%,Completed,No,,No,,KL-ALA-CHE-220992
